1000000069,0.0,"{'250.2067200': -0.011229816661149417, '375.3100800': -0.416844724991724}"
1000000070,3979.5917,"{'2037.1200800': -0.8011175290092024, '3055.6801200': -0.7911490998490551}"
1000000071,5101.3953,"{'2400.1084000': -0.9315330347521661, '3600.1626000': -0.20912285682497905}"
1000000072,191.0104,"{'250.2067200': -0.002033665703457428, '375.3100800': -0.038767877073182966}"
1000000073,448.0588,"{'2037.1200800': -0.08961175027968046, '3055.6801200': -0.08961175027968046}"
1000000074,0.0,"{'2037.1200800': -1.0, '3055.6801200': -1.0}"
1000000077,146.3349,"{'2559.9349600': -0.04238272417225517, '3839.9024400': -0.2789136860793486}"
1000000079,598030.6364,"{'2559.9349600': -1.2069186753113623, '3839.9024400': -0.8136602857266086}"
1000000109,50.0,"{'2559.9349600': -3.323931618523855e-276, '3839.9024400': -3.2865498298707043e-41}"
1000000110,12172.5141,"{'2682.6494400': -0.24742060838268465, '4023.9741600': -0.013022084161011666}"
1000000111,410.1996,"{'2559.9349600': -0.07519209020991041, '3839.9024400': -0.6965941255737874}"
1000000112,2145.8058,"{'2559.9349600': 0.03426346899039774, '3839.9024400': -0.034807054706377266}"
1000000113,1509.4869,"{'2559.9349600': -0.30104970101888007, '3839.9024400': -0.7117148954816915}"
1000000114,39525.2461,"{'2559.9349600': -0.373696604113075, '3839.9024400': -0.08619186391475392}"
1000000115,2145.8459,"{'2559.9349600': -0.032630485522729534, '3839.9024400': -0.03695038994766287}"
1000000116,90.0,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
1000000117,62.7197,"{'2559.9349600': 0.21397592231796497, '3839.9024400': 0.01093439240435111}"
1000000118,32711.5915,"{'2559.9349600': -0.6584111600980231, '3839.9024400': -0.613064241557557}"
1000000119,62.7197,"{'2559.9349600': 0.21413923053703354, '3839.9024400': 0.011372284197030432}"
1000000120,4.5,"{'2682.6494400': 0.0, '4023.9741600': 0.0}"
1000000121,26131.7711,"{'2559.9349600': -1.0748049896307942e-05, '3839.9024400': -0.47157816804801156}"
1000000122,54408.4606,"{'2559.9349600': -1.0881766099102959, '3839.9024400': -0.6166091899121806}"
1000000123,4.0,"{'2559.9349600': 0.1250184257205007, '3839.9024400': -0.06361666364736696}"
1000000124,50.0,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
1000000125,50.0,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
1000000126,230.656,"{'2682.6494400': -0.01794633301173056, '4023.9741600': -0.07092459095324352}"
1000000127,95035.4941,"{'2559.9349600': -9.085687755379258, '3839.9024400': 0.0}"
1000000128,44852.2978,"{'2559.9349600': -0.8970459545164106, '3839.9024400': -0.8970459545164106}"
1000000129,10224.1478,"{'2559.9349600': 0.23485342045262814, '3839.9024400': -0.09290621825507499}"
